Brand,AgeOfCar,OdoMeterReading,FuelType,NoOfOwners,Broker,Direct Owner,Trustmark Broker,Manual,Automatic,Price
3,12,0.16690469254123702,1,2.0,0.0,1.0,0.0,0.0,1.0,3.7162162162162167
18,8,0.0764648334743359,4,0.0,1.0,0.0,0.0,0.0,1.0,5.968468468468469
26,10,0.2955531407160608,1,4.0,0.0,1.0,0.0,0.0,1.0,10.472972972972974
17,8,2.8685221042125373,1,0.0,0.0,1.0,0.0,0.0,1.0,4.617117117117117
17,5,-0.9909313410321773,1,0.0,0.0,1.0,0.0,0.0,1.0,10.472972972972974
18,11,0.9387953815901798,1,1.0,0.0,1.0,0.0,0.0,1.0,2.5900900900900905
18,6,-0.6049859965077058,4,0.0,1.0,0.0,0.0,0.0,1.0,5.968468468468469
18,9,-0.04750938775013598,4,2.0,0.0,1.0,0.0,0.0,1.0,3.040540540540541
2,6,-1.1410211972361384,1,0.0,0.0,1.0,0.0,1.0,0.0,30.743243243243242
25,8,0.7243813012988068,1,0.0,0.0,1.0,0.0,0.0,1.0,4.2792792792792795
21,10,-0.7765172607408042,4,0.0,0.0,1.0,0.0,0.0,1.0,1.6216216216216217
10,15,1.7106860706391227,1,4.0,0.0,1.0,0.0,0.0,1.0,2.3648536036036036
25,6,-0.3476891001580582,1,0.0,0.0,1.0,0.0,1.0,0.0,13.288288288288289
9,9,-0.7839359879188857,4,0.0,0.0,0.0,1.0,0.0,1.0,4.560810810810811
18,8,-0.1332750198666852,4,0.0,0.0,1.0,0.0,0.0,1.0,2.7590090090090094
8,5,-0.9610420182395598,1,0.0,1.0,0.0,0.0,0.0,1.0,10.472972972972974
17,17,3.2973502647952833,4,2.0,0.0,1.0,0.0,0.0,1.0,2.2522522522522523
8,7,1.907968465915215,1,0.0,1.0,0.0,0.0,0.0,1.0,6.531531531531532
10,7,2.3324869034841043,1,0.0,0.0,1.0,0.0,0.0,1.0,2.8153153153153156
18,6,0.5742914450948458,4,0.0,1.0,0.0,0.0,0.0,1.0,4.617117117117117
18,17,0.7243813012988068,4,2.0,0.0,1.0,0.0,0.0,1.0,0.4504504504504504
26,5,-0.9057231855243856,1,2.0,1.0,0.0,0.0,1.0,0.0,19.20045045045045
18,11,-0.24048206001237168,1,0.0,1.0,0.0,0.0,0.0,1.0,3.7162162162162167
27,11,-0.24048206001237168,1,2.0,0.0,1.0,0.0,0.0,1.0,2.7590090090090094
17,17,1.153209461881553,1,2.0,0.0,1.0,0.0,0.0,1.0,3.1531531531531534
10,5,-0.8530630874048244,1,0.0,1.0,0.0,0.0,0.0,1.0,12.725225225225225
8,11,0.3305455186196129,1,0.0,1.0,0.0,0.0,0.0,1.0,4.560810810810811
21,8,0.7243813012988068,1,0.0,0.0,1.0,0.0,0.0,1.0,4.853603603603604
18,3,0.5099672210074339,1,0.0,0.0,1.0,0.0,0.0,1.0,5.968468468468469
17,10,0.08113906042468783,1,2.0,0.0,1.0,0.0,0.0,1.0,3.1531531531531534
3,11,0.5099672210074339,4,2.0,0.0,1.0,0.0,0.0,1.0,1.283783783783784
10,6,-0.9932898959153823,4,0.0,1.0,0.0,0.0,1.0,0.0,5.968468468468469
24,11,-0.3476891001580582,4,0.0,0.0,1.0,0.0,0.0,1.0,3.1531531531531534
10,10,-0.3476891001580582,4,0.0,0.0,1.0,0.0,0.0,1.0,2.7590090090090094
13,5,-0.3476891001580582,1,0.0,0.0,1.0,0.0,0.0,1.0,18.91891891891892
1,10,-0.16543713191039114,1,0.0,1.0,0.0,0.0,1.0,0.0,14.414414414414415
18,9,0.5099672210074339,1,0.0,0.0,1.0,0.0,0.0,1.0,4.166666666666667
25,11,0.2955531407160608,1,2.0,0.0,1.0,0.0,0.0,1.0,2.8153153153153156
18,4,1.153209461881553,0,0.0,0.0,1.0,0.0,0.0,1.0,3.1531531531531534
18,6,-0.7765172607408042,4,0.0,1.0,0.0,0.0,0.0,1.0,2.702702702702703
18,5,-0.9480485249739027,4,0.0,0.0,1.0,0.0,0.0,1.0,10.191441441441443
8,6,-0.666694368815563,1,0.0,1.0,0.0,0.0,0.0,1.0,6.531531531531532
18,5,-0.3476891001580582,1,0.0,0.0,1.0,0.0,0.0,1.0,5.405405405405406
9,7,-0.6693102205951177,1,0.0,1.0,0.0,0.0,0.0,1.0,5.686936936936937
3,10,0.08113906042468783,1,0.0,0.0,1.0,0.0,0.0,1.0,1.7229729729729732
10,7,-0.7765172607408042,4,0.0,0.0,1.0,0.0,0.0,1.0,2.1396396396396398
18,6,-0.1332750198666852,1,2.0,0.0,1.0,0.0,0.0,1.0,9.797297297297298
18,11,-0.1332750198666852,1,2.0,0.0,1.0,0.0,0.0,1.0,4.2792792792792795
10,5,-0.8837243008864907,4,0.0,0.0,1.0,0.0,0.0,1.0,3.3783783783783785
23,10,-0.1332750198666852,1,0.0,0.0,1.0,0.0,0.0,1.0,4.842342342342342
8,12,0.5099672210074339,1,4.0,0.0,1.0,0.0,0.0,1.0,1.9144144144144146
8,12,1.789461803738173,1,2.0,1.0,0.0,0.0,0.0,1.0,6.531531531531532
10,15,0.5099672210074339,4,0.0,0.0,1.0,0.0,0.0,1.0,1.1261261261261262
18,9,0.08113906042468783,4,2.0,0.0,1.0,0.0,0.0,1.0,2.1396396396396398
10,18,-0.9480485249739027,4,0.0,0.0,1.0,0.0,0.0,1.0,0.5743243243243243
18,15,0.5099672210074339,4,2.0,0.0,1.0,0.0,0.0,1.0,1.0135135135135136
9,16,0.08113906042468783,4,2.0,0.0,1.0,0.0,0.0,1.0,2.3648536036036036
18,9,-0.15235787301261738,1,0.0,1.0,0.0,0.0,0.0,1.0,7.263513513513514
18,9,-0.21460228052120298,4,2.0,1.0,0.0,0.0,0.0,1.0,1.801801801801802
18,12,-0.5621031804494312,4,0.0,0.0,1.0,0.0,0.0,1.0,2.027027027027027
18,8,1.582037622464299,1,4.0,0.0,1.0,0.0,0.0,1.0,5.18018018018018
8,12,0.7243813012988068,1,2.0,0.0,1.0,0.0,0.0,1.0,3.434684684684685
18,14,3.25170150710125,1,0.0,1.0,0.0,0.0,0.0,1.0,3.1531531531531534
10,6,-0.8014321768706618,4,0.0,0.0,1.0,0.0,0.0,1.0,2.927927927927928
18,18,-0.690751628624255,4,0.0,1.0,0.0,0.0,0.0,1.0,1.1824324324324327
18,16,0.7243813012988068,0,1.0,0.0,1.0,0.0,0.0,1.0,0.28153153153153154
18,15,0.08113906042468783,4,2.0,0.0,1.0,0.0,0.0,1.0,1.1261261261261262
25,17,5.012662907126267,1,2.0,0.0,1.0,0.0,0.0,1.0,0.731981981981982
9,9,0.05969765239555053,1,0.0,1.0,0.0,0.0,0.0,1.0,4.515765765765766
24,11,-0.3048062840997836,1,0.0,1.0,0.0,0.0,0.0,1.0,4.11036036036036
18,5,-0.9909313410321773,4,0.0,0.0,1.0,0.0,0.0,1.0,2.8153153153153156
18,7,0.12402187648296242,1,0.0,0.0,1.0,0.0,0.0,1.0,6.531531531531532
19,5,-1.2053454213235502,1,0.0,1.0,0.0,0.0,1.0,0.0,42.56756756756757
18,6,-0.8837243008864907,1,0.0,0.0,1.0,0.0,0.0,1.0,5.5180067567567574
18,13,-0.3476891001580582,4,4.0,0.0,1.0,0.0,0.0,1.0,0.7882882882882883
3,7,-0.6693102205951177,1,2.0,0.0,1.0,0.0,0.0,1.0,3.7162162162162167
25,5,-0.5621031804494312,4,0.0,0.0,1.0,0.0,0.0,1.0,4.954943693693694
18,10,0.2955531407160608,4,2.0,0.0,1.0,0.0,0.0,1.0,3.3783783783783785
6,8,1.367623542172926,1,0.0,0.0,1.0,0.0,0.0,1.0,3.7162162162162167
10,5,-0.9909313410321773,4,0.0,0.0,1.0,0.0,0.0,1.0,3.7162162162162167
17,6,-0.8837243008864907,1,0.0,0.0,1.0,0.0,0.0,1.0,8.783783783783784
23,6,-0.1332750198666852,1,0.0,0.0,1.0,0.0,0.0,1.0,7.6576576576576585
9,8,0.810146933415356,1,2.0,0.0,1.0,0.0,0.0,1.0,3.1531531531531534
10,5,-0.5621031804494312,1,0.0,0.0,1.0,0.0,0.0,1.0,9.008997747747749
27,11,0.5099672210074339,1,2.0,0.0,1.0,0.0,0.0,1.0,4.504504504504505
18,17,-0.09019923113614835,4,2.0,0.0,1.0,0.0,0.0,1.0,0.7882882882882883
23,11,0.2955531407160608,1,2.0,0.0,1.0,0.0,1.0,0.0,8.22072072072072
17,5,-0.9909313410321773,1,0.0,0.0,1.0,0.0,0.0,1.0,12.162162162162163
27,12,0.9387953815901798,1,0.0,0.0,1.0,0.0,0.0,1.0,2.927927927927928
18,6,0.08113906042468783,1,0.0,0.0,1.0,0.0,0.0,1.0,4.842342342342342
10,8,-0.8837243008864907,4,0.0,0.0,1.0,0.0,0.0,1.0,2.5900900900900905
23,6,-0.9909313410321773,4,0.0,0.0,1.0,0.0,1.0,0.0,3.1531531531531534
10,17,1.153209461881553,4,2.0,0.0,1.0,0.0,0.0,1.0,0.7882882882882883
17,8,0.5099672210074339,1,4.0,0.0,1.0,0.0,0.0,1.0,9.065315315315315
25,11,0.2955531407160608,1,0.0,0.0,1.0,0.0,0.0,1.0,3.3783783783783785
25,8,0.7243813012988068,1,2.0,0.0,1.0,0.0,0.0,1.0,3.7162162162162167
8,11,0.5135050533322415,1,0.0,1.0,0.0,0.0,0.0,1.0,4.842342342342342
23,8,-0.53802447923271,1,0.0,1.0,0.0,0.0,0.0,1.0,5.011261261261262
18,17,1.58847004487304,4,0.0,0.0,1.0,0.0,0.0,1.0,1.463963963963964
9,18,1.796451702755672,4,4.0,0.0,1.0,0.0,0.0,1.0,0.5067567567567568
17,12,0.5099672210074339,1,2.0,0.0,1.0,0.0,0.0,1.0,3.7162162162162167
10,18,-0.1332750198666852,4,0.0,0.0,1.0,0.0,0.0,1.0,0.6193693693693694
10,11,0.08113906042468783,4,2.0,0.0,1.0,0.0,0.0,1.0,2.195945945945946
10,6,-0.8837243008864907,4,0.0,1.0,0.0,0.0,1.0,0.0,6.925675675675676
17,27,-0.6693102205951177,1,2.0,0.0,1.0,0.0,0.0,1.0,2.5900900900900905
27,10,1.153209461881553,1,2.0,0.0,1.0,0.0,0.0,1.0,4.842342342342342
26,5,-0.8837243008864907,4,0.0,1.0,0.0,0.0,1.0,0.0,18.355855855855854
17,8,-0.4548961403037447,1,0.0,1.0,0.0,0.0,1.0,0.0,8.108108108108109
3,14,0.2955531407160608,4,2.0,0.0,1.0,0.0,0.0,1.0,2.1396396396396398
10,10,-0.6693102205951177,4,0.0,0.0,1.0,0.0,0.0,1.0,3.603603603603604
3,11,-0.23769467696858385,1,0.0,1.0,0.0,0.0,0.0,1.0,1.801801801801802
25,3,-1.398318093585786,1,0.0,0.0,1.0,0.0,0.0,1.0,4.572072072072072
18,7,-0.8837243008864907,4,2.0,0.0,1.0,0.0,0.0,1.0,1.463963963963964
18,14,0.08113906042468783,4,0.0,0.0,1.0,0.0,0.0,1.0,0.5855855855855856
27,9,0.2955531407160608,1,2.0,0.0,1.0,0.0,0.0,1.0,4.842342342342342
18,5,-1.2053454213235502,1,0.0,0.0,1.0,0.0,0.0,1.0,10.810810810810812
26,5,-1.0100785184021968,4,0.0,0.0,0.0,1.0,0.0,1.0,9.346846846846848
9,6,-1.1410855214602258,1,0.0,1.0,0.0,0.0,0.0,1.0,5.968468468468469
26,8,-0.26938507803564876,1,0.0,1.0,0.0,0.0,0.0,1.0,9.358108108108109
6,9,0.08113906042468783,1,0.0,0.0,1.0,0.0,0.0,1.0,3.434684684684685
17,11,4.905455866980581,1,0.0,0.0,1.0,0.0,0.0,1.0,3.1531531531531534
18,20,-0.6693102205951177,4,0.0,0.0,1.0,0.0,0.0,1.0,0.4504504504504504
23,5,-0.8515621888427848,4,0.0,0.0,1.0,0.0,0.0,1.0,3.8288288288288292
10,10,0.08113906042468783,1,2.0,0.0,1.0,0.0,0.0,1.0,6.756756756756757
10,4,-1.3125524614692368,4,0.0,0.0,1.0,0.0,0.0,1.0,4.2792792792792795
27,14,1.582037622464299,1,0.0,0.0,1.0,0.0,0.0,1.0,10.36036036036036
9,6,-0.7626661111539815,4,0.0,1.0,0.0,0.0,0.0,1.0,9.234234234234235
27,12,0.5099672210074339,1,4.0,0.0,1.0,0.0,0.0,1.0,1.7454954954954958
18,5,-0.7765172607408042,4,0.0,0.0,1.0,0.0,0.0,1.0,6.531531531531532
10,11,-0.4334547322746074,4,0.0,0.0,1.0,0.0,0.0,1.0,2.027027027027027
18,14,0.9387953815901798,4,1.0,0.0,1.0,0.0,0.0,1.0,1.0135135135135136
18,16,-0.261923468041509,4,0.0,0.0,1.0,0.0,0.0,1.0,0.6193693693693694
3,13,-0.4548961403037447,4,2.0,0.0,1.0,0.0,0.0,1.0,1.7454954954954958
17,7,-0.8837243008864907,4,0.0,0.0,1.0,0.0,0.0,1.0,4.560810810810811
18,15,0.5099672210074339,4,2.0,0.0,1.0,0.0,0.0,1.0,2.027027027027027
23,6,-0.7765172607408042,4,0.0,0.0,1.0,0.0,0.0,1.0,4.166666666666667
18,16,-0.3476891001580582,4,0.0,0.0,1.0,0.0,0.0,1.0,1.2950450450450453
23,7,-0.9266071169447653,4,0.0,0.0,1.0,0.0,0.0,1.0,2.927927927927928
27,10,0.7243813012988068,1,2.0,0.0,1.0,0.0,0.0,1.0,4.673412162162163
23,8,0.7243813012988068,1,0.0,0.0,1.0,0.0,0.0,1.0,7.094594594594595
18,11,-0.5621031804494312,4,0.0,0.0,1.0,0.0,0.0,1.0,2.702702702702703
10,6,-1.1045708035866049,4,0.0,0.0,1.0,0.0,0.0,1.0,9.90990990990991
17,14,-0.7765172607408042,4,2.0,0.0,1.0,0.0,0.0,1.0,2.027027027027027
10,8,-0.1332750198666852,1,0.0,0.0,1.0,0.0,0.0,1.0,4.504504504504505
18,5,-0.6693102205951177,4,0.0,1.0,0.0,0.0,0.0,1.0,3.2094594594594597
1,10,-0.16543713191039114,1,0.0,1.0,0.0,0.0,1.0,0.0,14.414414414414415
26,17,-0.09039220380841058,2,2.0,1.0,0.0,0.0,1.0,0.0,3.265765765765766
18,15,1.8393345188139465,3,2.0,0.0,1.0,0.0,0.0,1.0,1.1824324324324327
9,7,-0.4896955455350345,1,0.0,1.0,0.0,0.0,0.0,1.0,10.022522522522523
18,12,0.08113906042468783,4,2.0,0.0,1.0,0.0,0.0,1.0,2.2522522522522523
9,6,-0.6478688125659804,4,0.0,1.0,0.0,0.0,0.0,1.0,11.801801801801803
26,6,0.18834610057037432,1,0.0,0.0,1.0,0.0,1.0,0.0,18.91891891891892
10,5,-0.6693102205951177,4,0.0,0.0,1.0,0.0,1.0,0.0,5.968468468468469
18,6,-0.3476891001580582,4,0.0,0.0,1.0,0.0,0.0,1.0,1.5765765765765767
10,16,-0.1332750198666852,4,1.0,0.0,1.0,0.0,0.0,1.0,1.0135135135135136
18,10,0.10258046845382512,0,2.0,0.0,1.0,0.0,0.0,1.0,2.5900900900900905
10,11,-0.35146278797118635,4,0.0,1.0,0.0,0.0,0.0,1.0,2.3648536036036036
18,8,0.1844866471251296,1,0.0,0.0,1.0,0.0,0.0,1.0,3.3783783783783785
10,16,1.153209461881553,4,1.0,0.0,1.0,0.0,0.0,1.0,0.8445945945945946
18,7,-1.2674397389759318,4,0.0,0.0,0.0,1.0,0.0,1.0,7.31981981981982
10,9,0.2955531407160608,4,0.0,0.0,1.0,0.0,0.0,1.0,4.842342342342342
9,9,-0.3476891001580582,1,0.0,0.0,1.0,0.0,0.0,1.0,6.531531531531532
18,14,1.153209461881553,4,2.0,0.0,1.0,0.0,0.0,1.0,0.6531531531531531
18,16,0.9387953815901798,1,1.0,0.0,1.0,0.0,0.0,1.0,0.9009009009009009
17,8,-0.3476891001580582,1,2.0,0.0,1.0,0.0,0.0,1.0,5.405405405405406
25,11,0.5099672210074339,1,2.0,0.0,1.0,0.0,0.0,1.0,1.238738738738739
18,16,2.439693943629791,4,4.0,0.0,1.0,0.0,0.0,1.0,0.5630630630630631
17,10,0.7243813012988068,1,0.0,0.0,1.0,0.0,0.0,1.0,3.7049549549549554
18,11,0.9387953815901798,4,2.0,0.0,1.0,0.0,0.0,1.0,2.3085585585585586
10,18,0.5099672210074339,4,2.0,1.0,0.0,0.0,0.0,1.0,1.0698085585585586
18,5,-0.8837243008864907,4,0.0,0.0,1.0,0.0,1.0,0.0,5.968468468468469
18,10,-0.1100539749711295,1,0.0,1.0,0.0,0.0,0.0,1.0,4.560810810810811
10,3,-1.3961739527828723,4,0.0,0.0,1.0,0.0,0.0,1.0,11.5990990990991
18,8,-1.164220800723665,4,0.0,0.0,0.0,1.0,0.0,1.0,6.813063063063064
18,8,-0.7765172607408042,4,2.0,0.0,1.0,0.0,0.0,1.0,3.265765765765766
18,10,0.2955531407160608,1,1.0,0.0,1.0,0.0,0.0,1.0,2.5900900900900905
23,10,0.5099672210074339,1,2.0,0.0,1.0,0.0,0.0,1.0,3.3783783783783785
17,8,1.153209461881553,1,2.0,0.0,1.0,0.0,0.0,1.0,11.036036036036037
9,8,-0.6049859965077058,1,0.0,0.0,1.0,0.0,0.0,1.0,4.842342342342342
17,7,-0.1332750198666852,1,0.0,0.0,1.0,0.0,0.0,1.0,5.5180067567567574
24,11,1.153209461881553,1,2.0,0.0,1.0,0.0,0.0,1.0,2.871621621621622
25,6,-1.0981383811778638,4,0.0,0.0,1.0,0.0,0.0,1.0,8.22072072072072
10,3,-1.3125524614692368,1,0.0,0.0,1.0,0.0,0.0,1.0,11.036036036036037
26,13,1.153209461881553,1,0.0,0.0,1.0,0.0,0.0,1.0,2.5900900900900905
18,10,-0.24048206001237168,1,0.0,0.0,1.0,0.0,0.0,1.0,2.5900900900900905
27,5,-0.8837243008864907,1,0.0,0.0,1.0,0.0,0.0,1.0,7.207207207207207
10,5,-0.8837243008864907,1,2.0,0.0,1.0,0.0,1.0,0.0,12.162162162162163
23,11,0.9387953815901798,1,2.0,0.0,1.0,0.0,0.0,1.0,4.673412162162163
23,10,-1.398318093585786,1,2.0,1.0,0.0,0.0,0.0,1.0,4.842342342342342
26,15,-0.6693102205951177,4,2.0,0.0,1.0,0.0,0.0,1.0,4.2792792792792795
9,8,-0.5621031804494312,1,0.0,0.0,1.0,0.0,0.0,1.0,8.614864864864865
25,6,-0.8458587743070343,1,0.0,1.0,0.0,0.0,0.0,1.0,10.191441441441443
10,7,-0.8622828928573534,4,0.0,0.0,1.0,0.0,0.0,1.0,7.094594594594595
18,11,0.5099672210074339,4,2.0,0.0,1.0,0.0,0.0,1.0,2.027027027027027
17,22,0.7243813012988068,1,4.0,0.0,1.0,0.0,0.0,1.0,0.6756756756756757
5,6,0.2955531407160608,4,0.0,0.0,1.0,0.0,0.0,1.0,3.7162162162162167
10,13,0.016814836337275922,4,4.0,0.0,1.0,0.0,0.0,1.0,1.1261261261261262
8,16,-0.1332750198666852,4,4.0,0.0,1.0,0.0,0.0,1.0,1.9144144144144146
26,7,-0.04416452809759056,4,0.0,0.0,0.0,1.0,0.0,1.0,12.725225225225225
10,22,-0.3476891001580582,4,4.0,0.0,1.0,0.0,0.0,1.0,0.36036036036036034
10,12,0.5099672210074339,1,0.0,0.0,1.0,0.0,0.0,1.0,4.166666666666667
18,12,0.08113906042468783,4,0.0,0.0,1.0,0.0,0.0,1.0,2.3648536036036036
8,7,-0.8837243008864907,1,0.0,0.0,1.0,0.0,0.0,1.0,5.574324324324325
18,8,-0.5621031804494312,4,0.0,0.0,1.0,0.0,0.0,1.0,4.2792792792792795
21,6,-1.0709721172049467,4,0.0,1.0,0.0,0.0,0.0,1.0,4.673412162162163
10,10,-0.3691305081871955,4,0.0,0.0,1.0,0.0,0.0,1.0,3.040540540540541
26,15,0.501390657795779,1,4.0,0.0,1.0,0.0,0.0,1.0,6.418918918918919
18,12,-0.3476891001580582,4,0.0,0.0,1.0,0.0,0.0,1.0,1.2950450450450453
17,13,1.153209461881553,1,4.0,0.0,1.0,0.0,0.0,1.0,3.434684684684685
18,11,0.5099672210074339,4,2.0,0.0,1.0,0.0,0.0,1.0,2.2522522522522523
17,8,0.5099672210074339,1,0.0,0.0,1.0,0.0,0.0,1.0,3.1531531531531534
25,10,0.7243813012988068,1,0.0,0.0,1.0,0.0,0.0,1.0,2.2522522522522523
10,12,-0.3476891001580582,4,0.0,0.0,1.0,0.0,0.0,1.0,2.5900900900900905
10,11,-0.5621031804494312,4,0.0,0.0,1.0,0.0,0.0,1.0,3.1531531531531534
10,3,-1.389741530374131,1,0.0,0.0,1.0,0.0,0.0,1.0,7.6576576576576585
10,7,0.2955531407160608,4,0.0,0.0,1.0,0.0,0.0,1.0,2.3648536036036036
27,6,0.9387953815901798,1,0.0,0.0,1.0,0.0,1.0,0.0,7.770270270270271
18,23,0.4778051089637279,4,1.0,0.0,1.0,0.0,0.0,1.0,0.33783783783783783
8,10,0.18834610057037432,1,2.0,0.0,1.0,0.0,0.0,1.0,4.842342342342342
8,11,0.2955531407160608,1,2.0,0.0,1.0,0.0,0.0,1.0,2.927927927927928
26,10,0.18834610057037432,1,0.0,0.0,1.0,0.0,0.0,1.0,10.191441441441443
2,6,-0.5621031804494312,1,0.0,0.0,1.0,0.0,1.0,0.0,32.432432432432435
10,11,0.08113906042468783,1,0.0,0.0,1.0,0.0,0.0,1.0,2.5900900900900905
18,8,0.08113906042468783,4,0.0,0.0,1.0,0.0,0.0,1.0,1.238738738738739
26,10,1.153209461881553,1,0.0,0.0,1.0,0.0,0.0,1.0,11.14864864864865
25,12,-0.261923468041509,1,0.0,0.0,1.0,0.0,0.0,1.0,0.7882882882882883
26,6,-0.1975992439540971,1,0.0,0.0,1.0,0.0,1.0,0.0,35.810810810810814
3,15,0.3239415649466386,4,0.0,1.0,0.0,0.0,0.0,1.0,1.6891891891891895
10,7,-0.6693102205951177,1,0.0,0.0,1.0,0.0,0.0,1.0,4.617117117117117
23,7,-0.1332750198666852,4,2.0,0.0,1.0,0.0,0.0,1.0,2.8153153153153156
21,10,-0.7765172607408042,4,0.0,0.0,1.0,0.0,0.0,1.0,1.6216216216216217
18,8,-0.004626571691861379,4,0.0,0.0,1.0,0.0,0.0,1.0,7.376126126126127
18,11,0.2955531407160608,4,0.0,1.0,0.0,0.0,0.0,1.0,3.040540540540541
8,7,0.32975218652253485,1,0.0,1.0,0.0,0.0,0.0,1.0,7.094594594594595
3,11,-0.3476891001580582,1,0.0,0.0,1.0,0.0,0.0,1.0,2.027027027027027
25,14,-0.1332750198666852,1,4.0,0.0,1.0,0.0,0.0,1.0,1.8581081081081083
10,9,-0.24048206001237168,4,0.0,0.0,1.0,0.0,0.0,1.0,2.927927927927928
10,16,1.0245610137067291,4,2.0,0.0,1.0,0.0,0.0,1.0,0.6193693693693694
17,7,-0.1332750198666852,1,2.0,0.0,1.0,0.0,1.0,0.0,7.995495495495495
10,8,-0.9480485249739027,4,0.0,0.0,1.0,0.0,0.0,1.0,3.1531531531531534
18,5,-0.9909313410321773,1,0.0,0.0,1.0,0.0,0.0,1.0,8.22072072072072
17,13,3.7261784253780292,1,4.0,0.0,1.0,0.0,0.0,1.0,2.027027027027027
2,4,-0.7765172607408042,1,0.0,1.0,0.0,0.0,1.0,0.0,55.518018018018026
18,11,0.2955531407160608,3,2.0,0.0,1.0,0.0,0.0,1.0,2.2522522522522523
